,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
274,Mangrol,IN,2021-01-27 12:47:10,21.1167,70.1167,73.54,45,0,13.82
275,Fuling,CN,2021-01-27 12:51:52,29.7022,107.3919,45.81,81,4,1.01
276,Orange Cove,US,2021-01-27 12:51:52,36.6244,-119.3137,50.0,71,90,13.8
277,Charsadda,PK,2021-01-27 12:51:52,34.1435,71.7317,69.8,24,75,4.61
278,Isangel,VU,2021-01-27 12:51:52,-19.55,169.2667,79.59,84,100,13.94
279,Palana,RU,2021-01-27 12:51:52,59.1167,159.9667,-1.84,95,100,12.44
280,Talnakh,RU,2021-01-27 12:51:53,69.4865,88.3972,-19.55,82,100,2.66
281,Portland,US,2021-01-27 12:49:53,45.5234,-122.6762,37.99,93,90,2.93
282,Salalah,OM,2021-01-27 12:51:53,17.0151,54.0924,78.8,61,0,9.22
283,Bozova,TR,2021-01-27 12:51:53,37.3625,38.5267,53.6,37,75,19.57
284,Hobyo,SO,2021-01-27 12:51:54,5.3505,48.5268,78.96,69,67,22.32
285,Korla,CN,2021-01-27 12:51:54,41.7597,86.1469,25.68,78,0,3.94
286,Nguru,NG,2021-01-27 12:51:54,12.8791,10.4526,93.56,10,48,15.86
287,Jampur,PK,2021-01-27 12:51:54,29.6441,70.5954,58.89,28,0,3.69
288,Sakaiminato,JP,2021-01-27 12:51:54,35.55,133.2333,46.4,61,75,10.36
289,Ukiah,US,2021-01-27 12:51:55,39.1502,-123.2078,39.99,93,90,6.22
290,Tateyama,JP,2021-01-27 12:51:55,34.9833,139.8667,51.01,47,40,10.0
291,Nasirabad,IN,2021-01-27 12:51:56,26.3,74.7333,58.89,33,0,4.5
